[1384852876.0]	3.0	3.37242655057e-10	[-0.00654073  0.0319137   0.1567864 ]
[1384856058.0]	3.0	-9.88555894637e-15	[ 0.07336988  0.11077849 -0.10530241]
[1384859213.0]	3.0	-2.08977064426e-14	[-0.03219705 -0.01149066  0.04426001]
[1384862406.0]	2.9	-2.05298914439e-14	[-0.02758315  0.05736513  0.09417841]
[1384865866.0]	2.8	-2.29391605927e-14	[-0.00146508  0.05893925 -0.06075897]
[1384869431.0]	2.7	-2.24780478927e-14	[-0.01489255 -0.03490616  0.01514703]
[1384872744.0]	2.6	-2.33736222888e-14	[ 0.0121545   0.00980115 -0.00739844]
[1384876021.0]	2.5	-2.27110660874e-14	[-0.06012285  0.1245002  -0.06339599]
[1384884580.0]	2.4	-1.85896256227e-14	[-0.01717188  0.08689139  0.05113223]
[1384887714.0]	2.3	-2.24665495655e-14	[ 0.07693122  0.05161122 -0.06691349]
[1384890894.0]	2.2	-2.10020935639e-14	[ 0.03891444  0.02951652 -0.0300208 ]
[1384894088.0]	2.1	-2.37370136576e-14	[ 0.00234907  0.00181642  0.02802525]
[1384897275.0]	2.0	-2.36816225759e-14	[ 0.02892065 -0.01291763 -0.05601235]
[1384900509.0]	1.9	-2.45940851552e-14	[ 0.03455987 -0.06430161 -0.04923572]
[1384903754.0]	1.8	-2.18700938015e-14	[-0.05416168  0.04170141 -0.06040251]
[1384907015.0]	1.7	-2.27139289524e-14	[ 0.00588585 -0.00359435  0.02166302]
[1384910278.0]	1.6	-2.23198587543e-14	[ 0.0676786  -0.06738073  0.03757909]
[1384913527.0]	1.5	-2.23841101655e-14	[ 0.00679131 -0.04205372  0.02167491]
[1384916789.0]	1.4	-2.43871308292e-14	[-0.00025157  0.07807943  0.06640587]
[1384920046.0]	1.3	-2.5655085191e-14	[-0.02516957  0.00328127  0.00238969]
[1384923324.0]	1.2	-2.39631592775e-14	[-0.09685806 -0.00740903  0.01538188]
[1384926595.0]	1.1	-2.65408748051e-14	[-0.00361469 -0.08834076  0.04443116]
[1384929876.0]	1.0	-2.9734363174e-14	[ 0.08999818 -0.02478783  0.00212999]
[1384955202.0]	0.9	-3.03152008762e-14	[-0.08316674 -0.0554787  -0.01285668]
[1384958678.0]	0.8	-3.11992842646e-14	[ 0.06000255 -0.06370839 -0.00439428]
[1385021368.0]	0.7	-3.50783260733e-14	[-0.01363064 -0.03612474  0.01559712]
[1385024784.0]	0.6	-4.13632030366e-14	[ 0.06044046  0.03397698 -0.04332249]
[1385028163.0]	0.5	-6.48077016443e-14	[-0.00562027 -0.01002079  0.0692526 ]
[1385031653.0]	0.4	-9.32456471265e-14	[ 0.06450156 -0.07453338  0.0084043 ]
[1385035232.0]	0.3	-1.18510403113e-13	[ 0.10149756 -0.06912367  0.03444727]
[1385038795.0]	0.2	-1.35823262081e-13	[ 0.09784026 -0.07500966  0.0477172 ]
[1385042434.0]	0.1	-1.50880133977e-13	[ 0.11821302 -0.06750696  0.05260624]
