3.0	0.0039840639676	[-0.10124207  0.2017867 ]
3.0	-5.68125989497e-15	[-0.01856034 -0.0732044 ]
3.0	-1.17130334362e-14	[ 0.01357699 -0.01185364]
2.9	-5.70158198974e-15	[-0.0228064   0.05482634]
2.8	-7.80110463791e-15	[ 0.02175261  0.03014851]
2.7	-1.03815922831e-14	[ 0.01583804 -0.00476453]
2.6	-1.11581833162e-14	[ 0.06110648  0.00066746]
2.5	2.25830903945e-15	[ 0.12760346  0.08978183]
2.4	-1.05731725249e-14	[ 0.05255271  0.0191723 ]
2.3	-4.86676556602e-15	[-0.03609561 -0.00435372]
2.2	-7.48340887699e-15	[-0.01882653 -0.03817273]
2.1	-1.22787976798e-14	[ 0.05764869 -0.00864722]
2.0	-1.20230674554e-14	[ 0.019694    0.05175908]
1.9	-1.49834504594e-14	[-0.05152553  0.0091625 ]
1.8	-1.83352872803e-14	[ 0.0375766  0.0588148]
1.7	-1.55063425767e-14	[ 0.05774133 -0.03561712]
1.6	-1.64841566991e-14	[-0.0026841   0.10361592]
1.5	-1.26721517329e-14	[-0.01232214  0.03930839]
1.4	-1.76720272774e-14	[ 0.03278597  0.01743525]
1.3	-1.77692814938e-14	[-0.03835792  0.01177646]
1.2	-1.82155965944e-14	[ 0.01842698  0.02569932]
1.1	-1.66166807124e-14	[-0.01105439 -0.14679985]
1.0	-1.97092374252e-14	[-0.04257955 -0.11494824]
0.9	-2.12729563819e-14	[ 0.07782564 -0.00114564]
0.8	-2.19094819211e-14	[-0.04205988 -0.04745129]
0.7	-2.37710903262e-14	[ 0.03805796  0.00675097]
0.6	-2.45686972073e-14	[ 0.01868778  0.02044833]
0.5	-2.88507635243e-14	[-0.02661039  0.04289554]
0.4	-2.92933534708e-14	[-0.06948992  0.03826527]
0.3	-3.13110140719e-14	[-0.00902531  0.05894439]
0.2	-4.06713486101e-14	[-0.01875298 -0.0079597 ]
0.1	-4.84425787628e-14	[ 0.00044904  0.00409308]
